date﻿,unemployment rate,avg_unem,fed_funds,CPI,Oil_Price
20-Feb,3.5,3.630769231,1.58,2.792299,50.54
20-Mar,4.4,3.676923077,0.65,2.592275,29.21
20-Apr,14.8,4.523076923,0.05,2.160688,16.55
20-May,13.2,5.253846154,0.05,2.000025,28.56
20-Jun,11,5.823076923,0.08,1.998261,38.31
20-Jul,10.2,6.330769231,0.09,2.287039,40.71
20-Aug,8.4,6.692307692,0.10,2.22202,42.34
20-Sep,7.8,7.015384615,0.09,1.991587,39.63
20-Oct,6.9,7.276923077,0.09,1.74961,39.4
20-Nov,6.7,7.515384615,0.09,1.707378,40.94
20-Dec,6.7,7.753846154,0.09,1.603908,47.02
21-Jan,6.4,7.969230769,0.09,1.391588,52
21-Feb,6.2,8.169230769,0.08,1.403014,59.04
21-Mar,6.1,8.369230769,0.07,1.592602,62.33
21-Apr,6.1,8.5,0.07,2.212664,61.72
21-May,5.8,7.807692308,0.06,2.569395,65.17
21-Jun,5.9,7.246153846,0.08,2.564809,71.38
21-Jul,5.4,6.815384615,0.10,2.330438,72.49
21-Aug,5.1,6.423076923,0.09,2.335721,67.73
21-Sep,4.7,6.138461538,0.08,2.607496,71.65
21-Oct,4.5,5.884615385,0.08,3.009235,81.48
21-Nov,4.2,5.676923077,0.08,3.189375,79.15
21-Dec,3.9,5.461538462,0.08,3.458986,71.71
22-Jan,4,5.253846154,0.08,3.966999,83.22
22-Feb,3.8,5.053846154,0.08,4.2841,91.64
22-Mar,3.7,4.861538462,0.20,4.538679,108.5
22-Apr,3.7,4.676923077,0.33,4.70841,101.78
22-May,3.6,4.484615385,0.77,4.956489,109.55
22-Jun,3.6,4.315384615,1.21,5.40253,114.84
22-Jul,3.5,4.130769231,1.68,5.593246,101.62
22-Aug,3.6,3.992307692,2.33,5.952632,93.67
22-Sep,3.5,3.869230769,2.56,6.344649,84.26
22-Oct,3.6,3.784615385,3.08,6.315609,87.55
22-Nov,3.6,3.715384615,3.78,6.430319,84.37
22-Dec,3.5,3.661538462,4.10,6.545514,76.44
23-Jan,3.5,3.630769231,4.33,6.488339,78.12
23-Feb,3.6,3.6,4.57,6.526576,76.83
23-Mar,3.5,3.576923077,4.65,6.390646,73.28
23-Apr,3.4,3.553846154,4.83,6.267738,79.45
23-May,3.6,3.546153846,5.06,5.978883,71.58
23-Jun,3.6,3.546153846,5.08,5.588761,70.25
23-Jul,3.5,3.538461538,5.12,5.402919,76.07
23-Aug,3.7,3.553846154,5.33,5.169678,81.39
23-Sep,3.8,3.569230769,5.33,4.955445,89.43
23-Oct,3.9,3.6,5.33,4.882717,85.64
